utc_arrival,arrival_epoch,ppa_key,measurement_datetime_raw,measurement_value_raw,measurement_flags_raw,measurement_signalid_raw,measurement_repr,measurement_dict,metadata_repr,metadata_dict
2026-02-04 18:57:40.004,1770231460.004371,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 99992, tzinfo=datetime.timezone.utc)",np.float64(59.97881317138672),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.099 = 59.979 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.97881317138672), 'timestamp': np.uint64(639058282641000000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.012,1770231460.012369,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 99992, tzinfo=datetime.timezone.utc)",np.float64(59.97722244262695),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.099 = 59.977 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.97722244262695), 'timestamp': np.uint64(639058282641000000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.018,1770231460.018883,2423,"datetime.datetime(2026, 2, 4, 18, 57, 44, 19992, tzinfo=datetime.timezone.utc)",np.float64(50.039955139160156),<StateFlags.NORMAL: 0>,UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'),9f7d2122-96d4-4858-8722-26dd2bd4777a @ 2026-02-04 18:57:44.019 = 50.040 (0),"{'signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), 'value': np.float64(50.039955139160156), 'timestamp': np.uint64(639058282640200000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F029F0>,"{'_signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2423), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.021,1770231460.021886,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 116672, tzinfo=datetime.timezone.utc)",np.float64(59.97869110107422),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.116 = 59.979 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.97869110107422), 'timestamp': np.uint64(639058282641166667), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.030,1770231460.030397,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 116672, tzinfo=datetime.timezone.utc)",np.float64(59.97953414916992),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.116 = 59.980 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.97953414916992), 'timestamp': np.uint64(639058282641166667), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.038,1770231460.038557,2423,"datetime.datetime(2026, 2, 4, 18, 57, 44, 40000, tzinfo=datetime.timezone.utc)",np.float64(50.03757858276367),<StateFlags.NORMAL: 0>,UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'),9f7d2122-96d4-4858-8722-26dd2bd4777a @ 2026-02-04 18:57:44.040 = 50.038 (0),"{'signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), 'value': np.float64(50.03757858276367), 'timestamp': np.uint64(639058282640400000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F029F0>,"{'_signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2423), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.038,1770231460.038557,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 133336, tzinfo=datetime.timezone.utc)",np.float64(59.978179931640625),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.133 = 59.978 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.978179931640625), 'timestamp': np.uint64(639058282641333333), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.046,1770231460.046075,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 133336, tzinfo=datetime.timezone.utc)",np.float64(59.979366302490234),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.133 = 59.979 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.979366302490234), 'timestamp': np.uint64(639058282641333333), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.060,1770231460.060595,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 150000, tzinfo=datetime.timezone.utc)",np.float64(59.9782600402832),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.150 = 59.978 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.9782600402832), 'timestamp': np.uint64(639058282641500000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.060,1770231460.060595,2423,"datetime.datetime(2026, 2, 4, 18, 57, 44, 60008, tzinfo=datetime.timezone.utc)",np.float64(50.037994384765625),<StateFlags.NORMAL: 0>,UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'),9f7d2122-96d4-4858-8722-26dd2bd4777a @ 2026-02-04 18:57:44.060 = 50.038 (0),"{'signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), 'value': np.float64(50.037994384765625), 'timestamp': np.uint64(639058282640600000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F029F0>,"{'_signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2423), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.061,1770231460.061593,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 150000, tzinfo=datetime.timezone.utc)",np.float64(59.97628402709961),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.150 = 59.976 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.97628402709961), 'timestamp': np.uint64(639058282641500000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.071,1770231460.071055,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 166672, tzinfo=datetime.timezone.utc)",np.float64(59.97859191894531),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.166 = 59.979 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.97859191894531), 'timestamp': np.uint64(639058282641666667), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.077,1770231460.077572,2423,"datetime.datetime(2026, 2, 4, 18, 57, 44, 80000, tzinfo=datetime.timezone.utc)",np.float64(50.04039001464844),<StateFlags.NORMAL: 0>,UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'),9f7d2122-96d4-4858-8722-26dd2bd4777a @ 2026-02-04 18:57:44.080 = 50.040 (0),"{'signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), 'value': np.float64(50.04039001464844), 'timestamp': np.uint64(639058282640800000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F029F0>,"{'_signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2423), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.079,1770231460.079572,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 166672, tzinfo=datetime.timezone.utc)",np.float64(59.976253509521484),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.166 = 59.976 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.976253509521484), 'timestamp': np.uint64(639058282641666667), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.087,1770231460.087909,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 183336, tzinfo=datetime.timezone.utc)",np.float64(59.97789001464844),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.183 = 59.978 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.97789001464844), 'timestamp': np.uint64(639058282641833333), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.097,1770231460.097996,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 183336, tzinfo=datetime.timezone.utc)",np.float64(59.978885650634766),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.183 = 59.979 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.978885650634766), 'timestamp': np.uint64(639058282641833333), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.098,1770231460.098992,2423,"datetime.datetime(2026, 2, 4, 18, 57, 44, 99992, tzinfo=datetime.timezone.utc)",np.float64(50.04099655151367),<StateFlags.NORMAL: 0>,UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'),9f7d2122-96d4-4858-8722-26dd2bd4777a @ 2026-02-04 18:57:44.099 = 50.041 (0),"{'signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), 'value': np.float64(50.04099655151367), 'timestamp': np.uint64(639058282641000000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F029F0>,"{'_signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2423), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.107,1770231460.107079,477,"datetime.datetime(2026, 2, 4, 18, 57, 44, 200000, tzinfo=datetime.timezone.utc)",np.float64(59.977386474609375),<StateFlags.NORMAL: 0>,UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'),f10d543c-14bb-44e2-8b41-c8dc4830754a @ 2026-02-04 18:57:44.200 = 59.977 (0),"{'signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), 'value': np.float64(59.977386474609375), 'timestamp': np.uint64(639058282642000000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F00050>,"{'_signalid': UUID('f10d543c-14bb-44e2-8b41-c8dc4830754a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(477), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.118,1770231460.118819,2108,"datetime.datetime(2026, 2, 4, 18, 57, 44, 200000, tzinfo=datetime.timezone.utc)",np.float64(59.97837829589844),<StateFlags.NORMAL: 0>,UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'),d424d2b3-7d76-4aa0-b81f-4b002fabdb5b @ 2026-02-04 18:57:44.200 = 59.978 (0),"{'signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), 'value': np.float64(59.97837829589844), 'timestamp': np.uint64(639058282642000000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F02A80>,"{'_signalid': UUID('d424d2b3-7d76-4aa0-b81f-4b002fabdb5b'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2108), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
2026-02-04 18:57:40.119,1770231460.119362,2423,"datetime.datetime(2026, 2, 4, 18, 57, 44, 120000, tzinfo=datetime.timezone.utc)",np.float64(50.03788375854492),<StateFlags.NORMAL: 0>,UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'),9f7d2122-96d4-4858-8722-26dd2bd4777a @ 2026-02-04 18:57:44.120 = 50.038 (0),"{'signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), 'value': np.float64(50.03788375854492), 'timestamp': np.uint64(639058282641200000), 'flags': <StateFlags.NORMAL: 0>, '_signalindexcache': <sttp.transport.signalindexcache.SignalIndexCache object at 0x000001F332B6B3B0>, '_includetime': True, '_usemillisecondresolution': True, '_basetimeoffsets': array([0, 0]), '_timeindex': 0, '_usingbasetimeoffset': False}",<sttp.metadata.record.measurement.MeasurementRecord object at 0x000001F331F029F0>,"{'_signalid': UUID('9f7d2122-96d4-4858-8722-26dd2bd4777a'), '_adder': np.float64(0.0), '_multiplier': np.float64(1.0), '_id': np.uint64(2423), '_source': 'PPA', '_signaltypename': 'UNKN', '_signaltype': <SignalType.UNKN: -1>, '_signalreference': '', '_pointtag': '', '_deviceacronym': '', '_description': '', '_updatedOn': datetime.datetime(1, 1, 1, 0, 0, tzinfo=datetime.timezone.utc), 'device': None, 'phasor': None}"
